Category,Annual_Spend,Import_Value_USD,Tariff_Impact,Predicted_Spend
Battery Energy Storage System,82697267.03651418,1819116810.429809,454779202.61,537476469.6465142
Major Generation Powerhouse Equipment,27138247.2616946,73945071.9653994,18486267.99,45624515.2516946
Power Transformers,,77389243.4705689,19347310.87,
Switchgear,46673568.917923674,566486544.7871685,141621636.2,188295205.11792368
