ds,yhat,yhat_lower,yhat_upper
2010-05-01,198.55302015331978,-29.544361251096127,425.10810723845583
2010-06-01,246.89677497891063,21.889224428715995,471.12256385342306
2010-09-01,243.809352611888,29.12141422789281,448.0873284652071
2011-12-01,393.4720793113388,170.140056853931,602.2652858940397
2012-04-01,306.67490042432223,59.69282103202924,519.2656698576659
2012-10-01,184.83085601928684,-38.60961987134721,400.05543144157593
2012-12-01,131.1500339684104,-86.3101092288699,360.99111275423274
2013-03-01,287.33061921057754,69.71638949400835,509.48604590790364
2013-08-01,229.10424391477153,23.082550086253274,431.6994639250407
2013-09-01,378.8258240323855,154.31492453835682,593.0647892866634
2013-11-01,285.96610927611243,81.39658817122665,515.0001577584449
2014-02-01,267.34789222645554,43.75070965046111,483.1462279975995
2014-03-01,295.41270986307484,80.72715356828378,528.0254243733528
2014-05-01,152.67974502319902,-62.30290286424725,362.0210275422632
2014-10-01,150.125849458486,-64.6725055754347,360.7768979316624
2014-11-01,342.95565560658764,114.72855841774047,557.2529690652092
2014-12-01,277.3423263378828,54.115710470772896,502.86189021698834
2015-04-01,141.35953213350507,-73.39116575834251,351.07106489279073
2015-06-01,204.14871626643207,-19.990000666020695,427.12228786657977
2016-04-01,260.801625267443,34.4129072451996,481.8789666730004
2016-07-01,153.01580943102604,-63.75904556082156,356.5449324816173
2016-08-01,94.78901883273771,-122.36074771628867,305.3935547849379
2016-10-01,138.95758085838858,-68.2532529785493,371.2821959414861
2016-12-01,85.27675880631782,-149.36478904249307,289.4093039658248
2017-09-01,332.9525488726372,118.18493310437343,547.3874662523112
2017-10-01,119.89247868910329,-101.05176382914036,356.306685721682
2017-11-01,240.09283411741745,23.420323683371322,472.4057841585006
2018-05-01,106.80646987389025,-121.25216462575965,314.2357449941511
2018-07-01,102.24204954531027,-124.75306200050018,335.1886172087078
2018-08-01,269.29955001892944,65.71259613229225,484.97033459391605
2018-09-01,152.06280233350688,-60.126385150549915,370.6415177292021
2018-10-01,104.25257431589785,-124.31066497657964,319.181747587225
2018-11-01,297.08238046687705,70.23859410330986,541.910011050319
2018-12-01,231.46905120023868,26.844148758759196,460.70466967738673
2019-02-01,172.71855457081438,-48.52541992583693,398.7845001093433
2019-04-01,95.48625700349395,-114.5072972653214,311.44486820734824
2019-06-01,158.27544114060913,-69.02979698614516,358.70107382106727
2019-07-01,77.01736393085358,-165.65759030804688,287.13320297211874
2019-09-01,-29.93756276929662,-250.2035196469228,189.83280176859148
2019-10-01,92.06557683818731,-124.90584829701115,297.50205715960686
2019-11-01,355.7529104460036,143.24186340116105,564.6720420506706
2019-12-01,301.72552904871486,94.18354293070216,520.1047505021097
2020-02-01,124.215455180911,-92.39232882118284,342.9858459675417
2020-04-01,214.92835016828005,-3.801668250908896,447.4413036795998
2020-06-01,101.42346003850635,-147.3978534982757,314.29935581647163
2020-08-01,48.9157437431746,-159.21194537606172,269.42988968182846
2020-10-01,93.08430577226923,-123.58605652497118,328.4734326511839
2020-11-01,139.01194782419063,-73.84388561361587,356.79257152758936
2020-12-01,39.40348372567719,-174.0552935029797,276.44020587948495
2021-01-01,163.79541658840762,-41.39836545834016,382.5962932064151
2021-03-01,272.0321318210964,62.39874105944363,490.0988518495058
2021-04-01,235.51633506152714,19.276680514831963,454.22585433057407
2021-07-01,158.14510437905474,-47.474072788718466,374.25623246070916
2021-08-01,213.80575653377042,-9.403606397212226,426.19142709464916
2021-09-01,363.5273366500829,135.86451241276674,579.240356573391
2021-10-01,150.46726646873847,-49.642395081837414,366.9999356282918
2021-11-01,270.66762189785493,55.920017972631285,492.5718630562175
2021-12-01,189.8599584639833,-31.65317627724878,400.8758897132378
2022-01-01,96.56862332128912,-124.27139916376495,305.02012829923734
2022-02-01,252.04940485124376,36.995465130393505,462.6867136313545
2022-04-01,180.39941378261193,-32.25576407993336,393.4280981090714
2022-05-01,137.38125764958792,-84.60547245343285,365.27749025021774
2022-06-01,185.72501247441062,-45.05474877001533,411.4906356612193
2022-08-01,299.87433779327654,75.80255027994555,512.8351938390373
2022-10-01,134.8273620878292,-87.58168194194508,353.4961829332841
2022-12-01,262.0438389689373,44.73197405068215,461.0788617803206
2023-02-01,203.29334233605252,-17.013709754867136,430.4246691975011
2023-05-01,175.30271519572779,-52.11497262084595,385.43949710424033
2023-06-01,188.8502289019638,-22.790750819219962,403.01687628993244
2023-09-01,0.6372249872844264,-217.54231051862888,225.31951307343024
2023-10-01,122.64036459253462,-95.44265186264931,345.4326722457072
2023-11-01,386.32769819747415,164.0728004587634,612.838059894569
2023-12-01,332.3003167978726,105.63102095033214,550.7980701178154
2024-02-01,178.12344745981815,-34.36375925874276,385.78405716716367
2024-03-01,241.66358225400847,21.768016734679577,462.70347945650417
2024-04-01,268.8363424431465,33.990322430355924,482.31382236680474
2024-06-01,155.33145231041186,-64.38386958803636,377.43745844866436
2024-08-01,102.82373601128585,-103.82131417042851,318.62893102482684
2024-09-01,520.587742453322,296.20960758952094,747.7228886162507
2024-11-01,192.9199400872808,-27.825894813203572,418.50718940173135
2024-12-01,93.31147598659484,-125.63551172027876,298.9712250719752
2025-02-01,178.680290801956,-38.717894756105814,386.8517961578458
2025-03-01,149.71079384847275,-72.09170462497988,374.42131022487655
2025-04-01,113.1949970870785,-105.7333874971067,320.9099205233153
2025-05-01,-22.01675136116758,-237.1508363632676,196.9721078833566
2025-06-01,59.733031639660496,-160.902940867221,284.76706542917003
2025-08-01,91.48441855326526,-114.2050265254169,303.84989907210297
2025-09-01,241.20599866946458,15.861401924868531,454.9654165023376
