ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Tariff_Rate,Tariff_Rate_lower,Tariff_Rate_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-05-01,134.38770300000002,-66.77764099590932,370.6384390329044,134.38770300000002,134.38770300000002,7.132668197849699,7.132668197849699,7.132668197849699,14.703288477125305,14.703288477125305,14.703288477125305,7.132668197849699,7.132668197849699,7.132668197849699,7.570620279275607,7.570620279275607,7.570620279275607,0.0,0.0,0.0,149.09099147712533
2010-06-01,134.3670013848952,-23.815181633166,405.43252814375234,134.3670013848952,134.3670013848952,7.132668197849699,7.132668197849699,7.132668197849699,52.528119717243115,52.528119717243115,52.528119717243115,7.132668197849699,7.132668197849699,7.132668197849699,45.39545151939342,45.39545151939342,45.39545151939342,0.0,0.0,0.0,186.89512110213832
2010-09-01,134.30556433361633,-27.045986045457123,418.8579719535187,134.30556433361633,134.30556433361633,7.132668197849699,7.132668197849699,7.132668197849699,48.45642414224281,48.45642414224281,48.45642414224281,7.132668197849699,7.132668197849699,7.132668197849699,41.32375594439311,41.32375594439311,41.32375594439311,0.0,0.0,0.0,182.76198847585914
2011-12-01,134.00105025336478,142.74827021833065,566.612696261025,134.00105025336478,134.00105025336478,7.132668197849699,7.132668197849699,7.132668197849699,211.3045262365225,211.3045262365225,211.3045262365225,7.132668197849699,7.132668197849699,7.132668197849699,204.17185803867278,204.17185803867278,204.17185803867278,0.0,0.0,0.0,345.30557648988724
2012-04-01,133.91957943653233,67.96836329908058,477.19060455757125,133.91957943653233,133.91957943653233,7.132668197849699,7.132668197849699,7.132668197849699,135.52018963134392,135.52018963134392,135.52018963134392,7.132668197849699,7.132668197849699,7.132668197849699,128.38752143349421,128.38752143349421,128.38752143349421,0.0,0.0,0.0,269.4397690678762
2012-10-01,133.7973732112837,-96.08511956472812,361.07369469391165,133.7973732112837,133.7973732112837,7.132668197849699,7.132668197849699,7.132668197849699,7.696235945247952,7.696235945247952,7.696235945247952,7.132668197849699,7.132668197849699,7.132668197849699,0.5635677473982528,0.5635677473982528,0.5635677473982528,0.0,0.0,0.0,141.49360915653168
2012-12-01,133.75663780286746,-126.95709553226435,293.7082500250377,133.75663780286746,133.75663780286746,7.132668197849699,7.132668197849699,7.132668197849699,-41.88776368610185,-41.88776368610185,-41.88776368610185,7.132668197849699,7.132668197849699,7.132668197849699,-49.020431883951545,-49.020431883951545,-49.020431883951545,0.0,0.0,0.0,91.86887411676561
2013-03-01,133.6965363826972,53.9442199285943,507.89957154979055,133.6965363826972,133.6965363826972,7.132668197849699,7.132668197849699,7.132668197849699,145.38858188452448,145.38858188452448,145.38858188452448,7.132668197849699,7.132668197849699,7.132668197849699,138.25591368667477,138.25591368667477,138.25591368667477,0.0,0.0,0.0,279.0851182672217
2013-08-01,133.5943639684077,-4.710989216574818,410.8466320381345,133.5943639684077,133.5943639684077,7.132668197849699,7.132668197849699,7.132668197849699,68.58912809273686,68.58912809273686,68.58912809273686,7.132668197849699,7.132668197849699,7.132668197849699,61.45645989488715,61.45645989488715,61.45645989488715,0.0,0.0,0.0,202.18349206114453
2013-09-01,133.5736623681268,149.98667690138348,570.0316040356715,133.5736623681268,133.5736623681268,7.132668197849699,7.132668197849699,7.132668197849699,226.11040320238976,226.11040320238976,226.11040320238976,7.132668197849699,7.132668197849699,7.132668197849699,218.97773500454005,218.97773500454005,218.97773500454005,0.0,0.0,0.0,359.68406557051657
2013-11-01,133.53292696049567,30.19425471438729,461.99997997189286,133.53292696049567,133.53292696049567,7.132668197849699,7.132668197849699,7.132668197849699,118.95589766141862,118.95589766141862,118.95589766141862,7.132668197849699,7.132668197849699,7.132668197849699,111.82322946356892,111.82322946356892,111.82322946356892,0.0,0.0,0.0,252.4888246219143
2014-02-01,133.4714899522651,56.04109864306507,486.18230328726037,133.4714899522651,133.4714899522651,7.132668197849699,7.132668197849699,7.132668197849699,124.08884510757257,124.08884510757257,124.08884510757257,7.132668197849699,7.132668197849699,7.132668197849699,116.95617690972286,116.95617690972286,116.95617690972286,0.0,0.0,0.0,257.56033505983766
2014-03-01,133.4527917323689,100.39605060882181,531.8068852426093,133.4527917323689,133.4527917323689,7.132668197849699,7.132668197849699,7.132668197849699,175.13589787989272,175.13589787989272,175.13589787989272,7.132668197849699,7.132668197849699,7.132668197849699,168.003229682043,168.003229682043,168.003229682043,0.0,0.0,0.0,308.58868961226165
2014-05-01,133.41205634864602,-49.47888310609977,389.6957612600519,133.41205634864602,133.41205634864602,7.132668197849699,7.132668197849699,7.132668197849699,14.703288477983474,14.703288477983474,14.703288477983474,7.132668197849699,7.132668197849699,7.132668197849699,7.570620280133776,7.570620280133776,7.570620280133776,0.0,0.0,0.0,148.1153448266295
2014-10-01,133.30988399275094,-85.65165935372637,340.17350004612763,133.30988399275094,133.30988399275094,7.132668197849699,7.132668197849699,7.132668197849699,-6.9538874734631095,-6.9538874734631095,-6.9538874734631095,7.132668197849699,7.132668197849699,7.132668197849699,-14.086555671312809,-14.086555671312809,-14.086555671312809,0.0,0.0,0.0,126.35599651928783
