ds,yhat,yhat_lower,yhat_upper
2010-05-01,198.55302015331978,-18.386802744190483,403.2054615815573
2010-06-01,246.89677497891063,32.15367428912012,461.6565625445717
2010-09-01,243.809352611888,42.17415069605768,442.7251960843538
2011-12-01,393.4720793113388,180.83546462049495,613.5955471213175
2012-04-01,306.67490042432223,108.15380872055397,514.7524135815672
2012-10-01,184.83085601928684,-26.251136039279714,383.59721867119936
2012-12-01,131.1500339684104,-91.71072856440523,352.7829035593578
2013-03-01,287.33061921057754,80.8687846542522,511.67392878761314
2013-08-01,229.10424391477153,7.9186291118821,446.02264766994034
2013-09-01,378.8258240323855,166.77200917411935,592.4332162467374
2013-11-01,285.96610927611243,72.78519533353968,496.1836099264555
2014-02-01,267.34789222645554,36.89826068544456,479.8917868496235
2014-03-01,295.41270986307484,80.36622747561375,515.4119828253607
2014-05-01,152.67974502319902,-71.0638281537962,362.3000677004916
2014-10-01,150.125849458486,-71.54459678796347,352.44853584941944
2014-11-01,342.95565560658764,122.99912457449501,562.6307328662887
2014-12-01,277.3423263378828,82.61637410855722,495.78498793029
2015-04-01,141.35953213350507,-88.44072862925175,360.9184907752537
2015-06-01,204.14871626643207,-11.380041546816654,416.9967047715644
2016-04-01,260.801625267443,47.78243669566927,472.3898794073743
2016-07-01,153.01580943102604,-61.42618727461487,369.96447922670427
2016-08-01,94.78901883273771,-136.05185967432197,302.3174723479563
2016-10-01,138.95758085838858,-77.05581521652594,346.1657937087409
2016-12-01,85.27675880631782,-145.08444384146924,309.46362672096484
2017-09-01,332.9525488726372,125.66968277081615,540.4233104848156
2017-10-01,119.89247868910329,-95.14706383490739,337.35724000321943
2017-11-01,240.09283411741745,30.915106121204644,445.5876094274518
2018-05-01,106.80646987389025,-110.82568350341857,310.045794370225
2018-07-01,102.24204954531027,-119.9954462779111,323.1746511425866
2018-08-01,269.29955001892944,36.00014997190286,481.82547441100604
2018-09-01,152.06280233350688,-58.925684084177114,370.02015934205116
2018-10-01,104.25257431589785,-114.61453584702844,318.09541875477805
2018-11-01,297.08238046687705,78.58251514347893,508.3982640275147
2018-12-01,231.46905120023868,0.7801876803919171,429.31594311054505
2019-02-01,172.71855457081438,-36.434259134724385,393.24260848355493
2019-04-01,95.48625700349395,-111.20069046366754,309.2877508022216
2019-06-01,158.27544114060913,-66.49887111109305,364.51098257880176
2019-07-01,77.01736393085358,-137.16370591785318,310.55396981630275
2019-09-01,-29.93756276929662,-252.11042828797366,175.9267643491986
2019-10-01,92.06557683818731,-131.24813183370372,312.46165690878723
2019-11-01,355.7529104460036,165.93115551738617,563.9648143246457
2019-12-01,301.72552904871486,80.01161774437723,507.0790383687829
2020-02-01,124.215455180911,-96.4117617988108,343.20015706657966
2020-04-01,214.92835016828005,1.0705043140699442,431.01646856156674
2020-06-01,101.42346003850635,-120.4450221670481,303.87117825182804
2020-08-01,48.9157437431746,-161.95543172599352,273.6902743183212
2020-10-01,93.08430577226923,-132.12947235941502,309.0574571892099
2020-11-01,139.01194782419063,-81.94271781367618,353.5029471649505
2020-12-01,39.40348372567719,-169.53570207249086,257.70398349566875
2021-01-01,163.79541658840762,-70.86619530373335,397.78642555484055
2021-03-01,272.0321318210964,68.19722828010403,494.3700629749885
2021-04-01,235.51633506152714,25.773146020219766,458.7857350833163
2021-07-01,158.14510437905474,-67.45982204903055,385.3934779886298
2021-08-01,213.80575653377042,-4.232620212295979,426.337195752242
2021-09-01,363.5273366500829,137.2386631725158,569.7527382290584
2021-10-01,150.46726646873847,-42.46201099438618,376.3793682756728
2021-11-01,270.66762189785493,52.377735138806266,491.11595789984216
2021-12-01,189.8599584639833,-31.506531360480814,436.2072825345108
2022-01-01,96.56862332128912,-123.05576656728829,319.79043923771627
2022-02-01,252.04940485124376,37.02553987425221,480.5776598845861
2022-04-01,180.39941378261193,-33.67343667300655,397.754605827802
2022-05-01,137.38125764958792,-71.66394470642759,347.86636750365403
2022-06-01,185.72501247441062,-37.28930125440038,396.7878512931558
2022-08-01,299.87433779327654,84.57961823379019,515.3733267794441
2022-10-01,134.82736208782848,-78.99170597951434,353.51053723928493
2022-12-01,262.0438389689371,48.473553102891756,490.3731209407756
2023-02-01,203.29334233605272,-16.49995177946166,434.8957047325341
2023-05-01,175.30271519572784,-54.335838937840684,392.22685095774085
2023-06-01,188.85022890196387,-24.957308268934263,408.8336118902367
2023-09-01,0.6372249872841849,-232.39250090341716,232.73543384569382
2023-10-01,122.64036459253467,-103.71744278190529,333.3084116125513
2023-11-01,386.3276981974739,181.6303991563726,612.101835723781
2023-12-01,332.30031679787305,109.53146000844019,548.1573280558607
2024-02-01,178.1234474598179,-50.839440854169716,390.8720471286988
2024-03-01,241.66358225400847,34.68953861456,467.776722732406
2024-04-01,268.8363424431466,47.70618888175939,494.46802894082776
2024-06-01,155.33145231041175,-53.015065163193356,374.83703368018837
2024-08-01,102.82373601128569,-117.59810956397973,317.90958319154703
2024-09-01,520.587742453322,297.69800220298924,725.5757575782685
2024-11-01,192.91994008728074,-2.229475479723752,428.6205508766913
2024-12-01,93.3114759865949,-128.57120344774648,315.829724945227
2025-02-01,178.68029080195572,-39.96573415736119,391.048223758092
2025-03-01,149.71079384847295,-59.43415256408729,365.9386977437328
2025-04-01,113.19499708707866,-90.13677317798384,350.7528804334555
2025-05-01,-22.016751361167593,-246.0173691348828,208.3550424502985
2025-06-01,59.733031639660425,-147.30094100138524,283.63861226924047
2025-08-01,91.48441855326524,-124.88670139262351,313.2149709752833
2025-09-01,241.20599866946435,20.209582911566294,453.93283884474494
