ds,yhat,yhat_lower,yhat_upper
2010-05-01,156.71290749428314,-57.012079506231764,366.1317126701762
2010-06-01,198.02108439876363,-25.0894585508076,423.78497176186613
2010-09-01,193.708919034039,-29.320743741317987,415.01896973486396
2011-12-01,356.3231073592782,146.56077713752893,560.2144703687717
2012-04-01,277.75734245008624,72.97036472619143,505.9301499608936
2012-10-01,145.7928595032557,-72.1203111991344,358.80678897541975
2012-12-01,98.25657904335861,-105.74441882558745,337.9842095105293
2013-03-01,280.8983566389987,64.85079864766702,496.84224446259486
2013-08-01,207.43890981193067,-6.888501799906831,419.92955979180806
2013-09-01,364.4244694171682,145.80991936062404,577.9231926310305
2013-11-01,258.851655318264,54.83191185815073,488.1768777485606
2014-02-01,256.4880480244046,49.2365007159204,490.22364207894384
2014-03-01,299.31695380081453,78.07237045381295,511.7120534599916
2014-05-01,147.9411261012887,-68.98683490729383,357.32426314760653
2014-10-01,131.49745105444114,-93.83896124867385,326.4612129104841
2014-11-01,323.84341736212275,112.91554957044677,545.3414231609956
2014-12-01,266.24821215775626,62.42605712173042,479.1778763279159
2015-04-01,131.02788100577578,-99.67089207170098,351.51345447201805
2015-06-01,204.3602436978253,-15.72574028314413,403.9687338830088
2016-04-01,268.9984127359209,58.58169524427349,489.3195437673197
2016-07-01,157.2326140583298,-72.18701248633809,362.0733735835843
2016-08-01,90.4234570865541,-113.83405053393493,304.9412877181696
2016-10-01,137.04035561836014,-72.78567564288507,362.49489285987346
2016-12-01,89.50621710372727,-134.852101044339,312.0252098782003
2017-09-01,355.6837288094273,146.26117256977926,562.0549816579819
2017-10-01,128.15087069386462,-91.99984075340343,347.52447361677065
2017-11-01,250.11305668227232,27.381899160118373,472.3919384746348
2018-05-01,139.21737757204005,-80.9157051684996,362.3984883026778
2018-07-01,106.86602690441063,-110.70067091431237,319.8147734249728
2018-08-01,304.6038234652116,87.9837969239211,524.1074041899351
2018-09-01,176.22348062966546,-49.626235181370006,412.46784673845445
2018-10-01,122.78625537987372,-110.84233788449399,355.3997092666087
2018-11-01,315.1347650770539,86.08451364328535,525.3363028729515
2018-12-01,257.5420212175604,50.51939220520974,482.963710296993
2019-02-01,199.49500248726403,8.274083144957215,424.35265653056115
2019-04-01,122.33161748922907,-90.0118726695179,336.46137463484285
2019-06-01,195.6668429767089,-25.416559267131607,405.8125914545836
2019-07-01,81.94467759877205,-140.28900504657722,299.7786174824191
2019-09-01,-4.4490869635078525,-226.6410720780342,208.5122021463078
2019-10-01,120.96129969177717,-101.329910906534,331.9471554276066
2019-11-01,381.9053837497511,164.9807190126723,608.7177515429116
2019-12-01,338.87508143808185,125.98053592655265,548.1265566986727
2020-02-01,151.35366733404524,-44.3975138827873,371.4936061946598
2020-04-01,260.3193260030542,41.956157305080076,494.856307617773
2020-06-01,139.5081689531457,-78.8050056769105,366.087919047308
2020-08-01,81.75009594839605,-153.74996093011524,311.5578357859247
2020-10-01,128.36985727308715,-75.00680184251301,356.58477576286526
2020-11-01,178.288588525208,-36.860243766398746,407.1353875551001
2020-12-01,80.8385815563127,-141.75259900339327,296.1578531166704
2021-01-01,147.01962154223312,-69.22293711675893,367.2157317724624
2021-03-01,263.4877432016192,46.67069426515392,472.4727532070831
2021-04-01,210.5732380150671,-8.395884334449857,429.3368696950513
2021-07-01,123.30023288251465,-96.05586422910196,352.06784597945494
2021-08-01,190.04084926111528,-32.518693313332804,418.72976130037495
2021-09-01,347.028952258113,114.36232694337875,562.2907953648514
2021-10-01,119.49750206286032,-85.3255428653242,336.2022326315714
2021-11-01,241.46114289987025,21.13804834129788,452.50899958408064
2021-12-01,165.72613819868795,-43.759789357278144,389.0082832732584
2022-01-01,97.86807724594824,-127.14117902985822,315.3718435537224
2022-02-01,239.10508373600558,23.54680755666829,447.8253727419383
2022-04-01,161.68088850630934,-70.89955741731221,387.24372964395036
2022-05-01,130.56546381009787,-84.33331125402104,338.7270373800377
2022-06-01,171.8761841087741,-44.67976293630217,393.8335166122774
2022-08-01,295.9519097158102,75.84788152821575,497.1381570561712
2022-10-01,114.13434163390353,-110.64586220476741,317.9193934758983
2022-12-01,248.89010747318537,31.135076375250062,473.86430639448855
2023-02-01,190.84308874322312,-21.065578489188162,385.2584987615848
2023-05-01,183.78207823350772,-22.95714807096662,413.84503873800935
2023-06-01,187.01492923179478,-34.71432222139642,406.8583382123481
2023-09-01,-13.101000711854752,-226.5841478055233,217.78773096856702
2023-10-01,112.30938594046866,-122.94741453195064,331.5828837120936
2023-11-01,373.25346999480604,166.74147458360372,596.6377310761437
2023-12-01,330.22316768121993,114.67243665656447,543.4251836122704
2024-02-01,142.7017535780925,-88.28005774423357,349.01264827918527
2024-03-01,236.71365434770513,20.37901765370164,452.8570269657223
2024-04-01,251.66741224705814,36.98082023946781,466.37174156085297
2024-06-01,130.85625519605992,-94.50924863513524,355.72415453509376
2024-08-01,73.0981821893466,-145.1616833995668,312.09219303884703
2024-09-01,516.4340574367573,296.71348653052274,732.8106789273057
2024-11-01,169.63667476246667,-50.129690089001514,376.128512010724
2024-12-01,72.1866677909385,-142.07165888260084,298.87395666124837
2025-02-01,278.77108727444545,72.23991869985917,494.5503000508348
2025-03-01,254.83582942615107,44.591482120398375,467.0046389681168
2025-04-01,201.92132423531302,-1.730263485116288,412.30586307221677
2025-05-01,69.5927554009537,-156.82700008828112,285.75116809581885
2025-06-01,147.37664695553875,-68.67190239310939,373.42091009118855
2025-08-01,181.38893546614338,-40.19138933688303,393.32952136230404
2025-09-01,338.3770384611633,118.15753697582578,563.0315417213523
